step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,device_id,ip_address,card_id
1,CASH_OUT,20128.0,C1118430673,20128.0,0.0,C339924917,6268.0,12145.85,1,0,DEV_FRAUD_RING_604,10.0.99.605,CARD_FRAUD_RING_604
1,CASH_OUT,1277212.77,C467632528,1277212.77,0.0,C716083600,0.0,2444985.19,1,0,DEV_FRAUD_RING_1133,10.0.99.1134,CARD_FRAUD_RING_1133
1,CASH_OUT,416001.33,C749981943,0.0,0.0,C667346055,102.0,9291619.62,1,0,DEV_FRAUD_RING_696,10.0.99.697,CARD_FRAUD_RING_696
1,TRANSFER,1277212.77,C1334405552,1277212.77,0.0,C431687661,0.0,0.0,1,0,DEV_FRAUD_RING_017,10.0.99.18,CARD_FRAUD_RING_017
1,CASH_OUT,2806.0,C2101527076,2806.0,0.0,C1007251739,26202.0,0.0,1,0,DEV_FRAUD_RING_2168,10.0.99.2169,CARD_FRAUD_RING_2168
1,TRANSFER,20128.0,C137533655,20128.0,0.0,C1848415041,0.0,0.0,1,0,DEV_FRAUD_RING_2920,10.0.99.2921,CARD_FRAUD_RING_2920
1,TRANSFER,2806.0,C1420196421,2806.0,0.0,C972765878,0.0,0.0,1,0,DEV_FRAUD_RING_632,10.0.99.633,CARD_FRAUD_RING_632
1,TRANSFER,181.0,C1305486145,181.0,0.0,C553264065,0.0,0.0,1,0,DEV_FRAUD_RING_2241,10.0.99.2242,CARD_FRAUD_RING_2241
1,CASH_OUT,181.0,C840083671,181.0,0.0,C38997010,21182.0,0.0,1,0,DEV_FRAUD_RING_2193,10.0.99.2194,CARD_FRAUD_RING_2193
1,CASH_OUT,235238.66,C1499825229,235238.66,0.0,C2100440237,0.0,235238.66,1,0,DEV_FRAUD_RING_2513,10.0.99.2514,CARD_FRAUD_RING_2513
1,TRANSFER,235238.66,C1872047468,235238.66,0.0,C116289363,0.0,0.0,1,0,DEV_FRAUD_RING_394,10.0.99.395,CARD_FRAUD_RING_394
1,CASH_OUT,25071.46,C1275464847,25071.46,0.0,C1364913072,9083.76,34155.22,1,0,DEV_FRAUD_RING_052,10.0.99.53,CARD_FRAUD_RING_052
1,TRANSFER,35063.63,C1364127192,35063.63,0.0,C1136419747,0.0,0.0,1,0,DEV_FRAUD_RING_3190,10.0.99.3191,CARD_FRAUD_RING_3190
1,CASH_OUT,35063.63,C1635772897,35063.63,0.0,C1983025922,31140.0,7550.03,1,0,DEV_FRAUD_RING_3121,10.0.99.3122,CARD_FRAUD_RING_3121
1,TRANSFER,25071.46,C669700766,25071.46,0.0,C1384210339,0.0,0.0,1,0,DEV_FRAUD_RING_1039,10.0.99.1040,CARD_FRAUD_RING_1039
1,PAYMENT,8.73,C38603201,81313.0,81304.27,M1422273905,0.0,0.0,0,0,DEV_004016,192.168.44.95,CARD_014752
1,CASH_OUT,132842.64,C13692003,4499.08,0.0,C297927961,0.0,132842.64,1,0,DEV_FRAUD_RING_3198,10.0.99.3199,CARD_FRAUD_RING_3198
1,PAYMENT,4920.42,C972843820,49478.0,44557.58,M1883971879,0.0,0.0,0,0,DEV_009122,192.168.4.104,CARD_011554
2,CASH_OUT,1096187.24,C77163673,1096187.24,0.0,C644345897,0.0,1096187.24,1,0,DEV_FRAUD_RING_1010,10.0.99.1011,CARD_FRAUD_RING_1010
